Sample	Unique Reads	Duplicate Reads
Acute_Fatal_102_1	6916689.0	37889830.0
Acute_Fatal_102_2	7604971.0	37201548.0
Acute_Fatal_104_1	3696078.0	58877757.0
Acute_Fatal_104_2	4664363.0	57909472.0
Acute_Fatal_105_1	1379970.0	39469276.0
Acute_Fatal_105_2	1843803.0	39005443.0
Acute_Fatal_106_1	4040420.0	44198541.0
Acute_Fatal_106_2	4711716.0	43527245.0
Acute_Fatal_107_1	2183927.0	32959189.0
Acute_Fatal_107_2	2481892.0	32661224.0
Acute_Fatal_109_1	783987.0	39003562.0
Acute_Fatal_109_2	1114264.0	38673285.0
Acute_Fatal_14_1	3428321.0	32637315.0
Acute_Fatal_14_2	3892404.0	32173232.0
Acute_Fatal_16_1	4884852.0	29036329.0
Acute_Fatal_16_2	5591738.0	28329443.0
Acute_Fatal_17_1	3345009.0	15557831.0
Acute_Fatal_17_2	3840544.0	15062296.0
Acute_Fatal_18_1	2700663.0	24293111.0
Acute_Fatal_18_2	2998370.0	23995404.0
Acute_Fatal_1_1	3869273.0	28144791.0
Acute_Fatal_1_2	4081773.0	27932291.0
Acute_Fatal_20_1	2358965.0	15861176.0
Acute_Fatal_20_2	2786766.0	15433375.0
Acute_Fatal_21_1	3904527.0	20808081.0
Acute_Fatal_21_2	4112470.0	20600138.0
Acute_Fatal_22_1	2671949.0	31052174.0
Acute_Fatal_22_2	2752309.0	30971814.0
Acute_Fatal_24_1	2430289.0	35921071.0
Acute_Fatal_24_2	2720599.0	35630761.0
Acute_Fatal_26_1	1483531.0	14345798.0
Acute_Fatal_26_2	1782477.0	14046852.0
Acute_Fatal_29_1	1155092.0	18781460.0
Acute_Fatal_29_2	1100450.0	18836102.0
Acute_Fatal_32_1	5013926.0	47314217.0
Acute_Fatal_32_2	5387973.0	46940170.0
Acute_Fatal_33_1	1829685.0	20818789.0
Acute_Fatal_33_2	1989801.0	20658673.0
Acute_Fatal_34_1	3519660.0	32301855.0
Acute_Fatal_34_2	3753176.0	32068339.0
Acute_Fatal_35_1	4503228.0	23435949.0
Acute_Fatal_35_2	4923885.0	23015292.0
Acute_Fatal_36_1	3457576.0	24424731.0
Acute_Fatal_36_2	3964939.0	23917368.0
Acute_Fatal_38_1	3022805.0	17191013.0
Acute_Fatal_38_2	3197179.0	17016639.0
Acute_Fatal_39_1	3142272.0	16500123.0
Acute_Fatal_39_2	3609611.0	16032784.0
Acute_Fatal_40_1	6034490.0	40864631.0
Acute_Fatal_40_2	6600047.0	40299074.0
Acute_Fatal_41_1	2641399.0	9998320.0
Acute_Fatal_41_2	2965194.0	9674525.0
Acute_Fatal_42_1	4594265.0	27345337.0
Acute_Fatal_42_2	5310800.0	26628802.0
Acute_Fatal_45_1	2952689.0	19158437.0
Acute_Fatal_45_2	3141694.0	18969432.0
Acute_Fatal_46_1	969936.0	5341241.0
Acute_Fatal_46_2	1081642.0	5229535.0
Acute_Fatal_47_1	1894245.0	10806478.0
Acute_Fatal_47_2	2018258.0	10682465.0
Acute_Fatal_48_1	4684282.0	29651486.0
Acute_Fatal_48_2	5432128.0	28903640.0
Acute_Fatal_49_1	9300868.0	146246651.0
Acute_Fatal_49_2	10668557.0	144878962.0
Acute_Fatal_4_1	3311658.0	21228125.0
Acute_Fatal_4_2	3549904.0	20989879.0
Acute_Fatal_52_1	5693128.0	43300040.0
Acute_Fatal_52_2	6480205.0	42512963.0
Acute_Fatal_57_1	3116344.0	18599877.0
Acute_Fatal_57_2	3581275.0	18134946.0
Acute_Fatal_58_1	3402007.0	21667050.0
Acute_Fatal_58_2	3571134.0	21497923.0
Acute_Fatal_5_1	3004964.0	11598508.0
Acute_Fatal_5_2	3616832.0	10986640.0
Acute_Fatal_64_1	5776663.0	25649871.0
Acute_Fatal_64_2	6152421.0	25274113.0
Acute_Fatal_65_1	473098.0	8484559.0
Acute_Fatal_65_2	491176.0	8466481.0
Acute_Fatal_67_1	727882.0	3269418.0
Acute_Fatal_67_2	1533604.0	2463696.0
Acute_Fatal_68_1	4753291.0	113300309.0
Acute_Fatal_68_2	6233776.0	111819824.0
Acute_Fatal_69_1	2084891.0	26197784.0
Acute_Fatal_69_2	2643896.0	25638779.0
Acute_Fatal_6_1	2746934.0	14742609.0
Acute_Fatal_6_2	3055702.0	14433841.0
Acute_Fatal_70_1	441316.0	1816414.0
Acute_Fatal_70_2	985605.0	1272125.0
Acute_Fatal_71_1	1868236.0	38550116.0
Acute_Fatal_71_2	2513698.0	37904654.0
Acute_Fatal_73_1	1339623.0	32633587.0
Acute_Fatal_73_2	1793833.0	32179377.0
Acute_Fatal_76_1	1302127.0	19288524.0
Acute_Fatal_76_2	1276150.0	19314501.0
Acute_Fatal_86_1	1450593.0	39911093.0
Acute_Fatal_86_2	2052087.0	39309599.0
Acute_Fatal_87_1	2641849.0	11912002.0
Acute_Fatal_87_2	2665468.0	11888383.0
Acute_Fatal_92_1	1876961.0	25056903.0
Acute_Fatal_92_2	2094972.0	24838892.0
Acute_Fatal_93_1	2556389.0	22181464.0
Acute_Fatal_93_2	3054069.0	21683784.0
Acute_Fatal_96_1	3049161.0	32925660.0
Acute_Fatal_96_2	4107074.0	31867747.0
Acute_Fatal_97_1	1309621.0	17050944.0
Acute_Fatal_97_2	1480949.0	16879616.0
Acute_Fatal_99_1	1696238.0	12918376.0
Acute_Fatal_99_2	1763061.0	12851553.0
Acute_Fatal_9_1	3548973.0	27058685.0
Acute_Fatal_9_2	3846566.0	26761092.0
Acute_Survivor_10_1	5534675.0	30066987.0
Acute_Survivor_10_2	5736043.0	29865619.0
Acute_Survivor_11_1	4293532.0	36089745.0
Acute_Survivor_11_2	4791200.0	35592077.0
Acute_Survivor_12_1	1625109.0	8673309.0
Acute_Survivor_12_2	1825091.0	8473327.0
