Sample	Uniquely mapped	Mapped to too many loci	Unmapped: too short	Unmapped: other
Acute_Fatal_104	8460275.0	53573182.0	534167.0	6211.0
Acute_Fatal_104._STARpass1	8502106.0	53530187.0	535317.0	6225.0
Acute_Fatal_106	9820853.0	37924395.0	484126.0	9587.0
Acute_Fatal_106._STARpass1	10008740.0	37731811.0	488825.0	9585.0
Acute_Fatal_14	4617177.0	31035666.0	405551.0	7242.0
Acute_Fatal_14._STARpass1	4586888.0	31065353.0	406142.0	7253.0
Acute_Fatal_26	3112396.0	11932377.0	782971.0	1585.0
Acute_Fatal_26._STARpass1	3148683.0	11895080.0	783982.0	1584.0
Acute_Fatal_29	442762.0	18997954.0	495836.0	0.0
Acute_Fatal_29._STARpass1	408422.0	19032249.0	495881.0	0.0
Acute_Fatal_32	6104195.0	45679425.0	539337.0	5186.0
Acute_Fatal_32._STARpass1	5989375.0	45793555.0	540020.0	5193.0
Acute_Fatal_35	5809108.0	21424662.0	699831.0	5576.0
Acute_Fatal_35._STARpass1	5796054.0	21437288.0	700255.0	5580.0
Acute_Fatal_38	3312753.0	16699360.0	199688.0	2017.0
Acute_Fatal_38._STARpass1	3303562.0	16708359.0	199878.0	2019.0
Acute_Fatal_39	3906577.0	15495506.0	236404.0	3908.0
Acute_Fatal_39._STARpass1	3895388.0	15506342.0	236752.0	3913.0
Acute_Fatal_4	4018618.0	20333338.0	185356.0	2471.0
Acute_Fatal_4._STARpass1	4026445.0	20325161.0	185701.0	2476.0
Acute_Fatal_40	9263871.0	36875762.0	754800.0	4688.0
Acute_Fatal_40._STARpass1	9355753.0	36782714.0	755959.0	4695.0
Acute_Fatal_42	6327146.0	25210053.0	399209.0	3194.0
Acute_Fatal_42._STARpass1	6334264.0	25202417.0	399723.0	3198.0
Acute_Fatal_46	937158.0	5279416.0	93968.0	635.0
Acute_Fatal_46._STARpass1	936650.0	5279857.0	94039.0	631.0
Acute_Fatal_48	5299562.0	28710733.0	322011.0	3462.0
Acute_Fatal_48._STARpass1	5281093.0	28728679.0	322564.0	3432.0
Acute_Fatal_49	19972045.0	132635914.0	2924007.0	15553.0
Acute_Fatal_49._STARpass1	19704287.0	132909872.0	2917840.0	15520.0
Acute_Fatal_58	3546795.0	21390480.0	129296.0	2486.0
Acute_Fatal_58._STARpass1	3515750.0	21421225.0	129590.0	2492.0
Acute_Fatal_6	2938237.0	14290904.0	258654.0	1748.0
Acute_Fatal_6._STARpass1	2916089.0	14312795.0	258910.0	1749.0
Acute_Fatal_64	6499773.0	24214356.0	709267.0	3138.0
Acute_Fatal_64._STARpass1	6506633.0	24207125.0	709636.0	3140.0
Acute_Fatal_67	651256.0	2693644.0	651600.0	800.0
Acute_Fatal_67._STARpass1	651593.0	2693224.0	651683.0	800.0
Acute_Fatal_68	12364421.0	103277873.0	2411306.0	0.0
Acute_Fatal_68._STARpass1	12211252.0	103428262.0	2414086.0	0.0
Acute_Fatal_70	325767.0	1573287.0	358676.0	0.0
Acute_Fatal_70._STARpass1	327678.0	1571240.0	358812.0	0.0
Acute_Fatal_73	1195878.0	31947340.0	829992.0	0.0
Acute_Fatal_73._STARpass1	1147525.0	31995582.0	830103.0	0.0
Acute_Fatal_76	961292.0	18453913.0	1173387.0	2059.0
Acute_Fatal_76._STARpass1	949378.0	18465731.0	1173483.0	2059.0
Acute_Fatal_86	2041037.0	38627971.0	692678.0	0.0
Acute_Fatal_86._STARpass1	1983063.0	38685554.0	693069.0	0.0
Acute_Fatal_87	3997442.0	9920532.0	608230.0	27647.0
Acute_Fatal_87._STARpass1	3993445.0	9923625.0	609158.0	27623.0
Acute_Fatal_92	1654194.0	24712480.0	564502.0	2688.0
Acute_Fatal_92._STARpass1	1599759.0	24766204.0	565210.0	2691.0
Acute_Fatal_93	4508477.0	19929923.0	296978.0	2475.0
Acute_Fatal_93._STARpass1	4539229.0	19898257.0	297905.0	2462.0
Acute_Fatal_96	416645.0	2274345.0	33283831.0	0.0
Acute_Fatal_96._STARpass1	416758.0	2274186.0	33283877.0	0.0
Acute_Fatal_97	1193012.0	16528655.0	637062.0	1836.0
Acute_Fatal_97._STARpass1	1168446.0	16553143.0	637140.0	1836.0
Acute_Fatal_99	1596798.0	11276837.0	1738055.0	2924.0
Acute_Fatal_99._STARpass1	1575819.0	11297588.0	1738286.0	2921.0
Acute_Survivor_1	4479342.0	19303699.0	207675.0	2387.0
Acute_Survivor_1._STARpass1	4507796.0	19274889.0	208027.0	2391.0
Acute_Survivor_11	7155237.0	32738245.0	485747.0	4048.0
Acute_Survivor_11._STARpass1	7305941.0	32585974.0	487301.0	4061.0
Acute_Survivor_12	2203939.0	7992389.0	101059.0	1031.0
Acute_Survivor_12._STARpass1	2250008.0	7945781.0	101603.0	1026.0
Acute_Survivor_13	5575092.0	16624188.0	249072.0	2244.0
Acute_Survivor_13._STARpass1	5607788.0	16591211.0	249351.0	2246.0
Acute_Survivor_15	7973155.0	42097377.0	371657.0	10045.0
Acute_Survivor_15._STARpass1	7722690.0	42347343.0	377105.0	5096.0
Acute_Survivor_17	4172101.0	17811702.0	139842.0	2220.0
Acute_Survivor_17._STARpass1	4146760.0	17836738.0	140143.0	2224.0
Acute_Survivor_18	7759054.0	30054276.0	254048.0	3792.0
Acute_Survivor_18._STARpass1	7723481.0	30089221.0	254667.0	3801.0
Acute_Survivor_2	4542164.0	21471423.0	177183.0	2606.0
Acute_Survivor_2._STARpass1	4523734.0	21489454.0	177577.0	2611.0
Acute_Survivor_20	3192001.0	9949889.0	677325.0	1382.0
Acute_Survivor_20._STARpass1	3223386.0	9918456.0	677373.0	1382.0
Acute_Survivor_21	1273723.0	21040800.0	297016.0	0.0
Acute_Survivor_21._STARpass1	1227954.0	21086520.0	297065.0	0.0
Acute_Survivor_22	3781703.0	14811261.0	209335.0	1869.0
Acute_Survivor_22._STARpass1	3910432.0	14681470.0	210388.0	1878.0
Acute_Survivor_23	134425.0	391508.0	59643.0	410.0
Acute_Survivor_23._STARpass1	134655.0	391274.0	59647.0	410.0
Acute_Survivor_27	11124411.0	9643035.0	2409824.0	139835.0
Acute_Survivor_27._STARpass1	11113264.0	9648553.0	2415400.0	139888.0
Acute_Survivor_28	11896568.0	114486695.0	715065.0	0.0
Acute_Survivor_28._STARpass1	11817920.0	114563350.0	717058.0	0.0
Acute_Survivor_29	1014450.0	8740564.0	202646.0	1997.0
Acute_Survivor_29._STARpass1	1010457.0	8743298.0	202903.0	2999.0
Acute_Survivor_30	1565355.0	26692133.0	213701.0	0.0
Acute_Survivor_30._STARpass1	1517408.0	26739983.0	213798.0	0.0
Acute_Survivor_31	4345368.0	42004466.0	807607.0	4695.0
Acute_Survivor_31._STARpass1	4294052.0	42055111.0	808274.0	4699.0
Acute_Survivor_32	68877.0	972224.0	28189.0	322.0
Acute_Survivor_32._STARpass1	67951.0	973010.0	28329.0	322.0
Acute_Survivor_35	291630.0	802183.0	115205.0	605.0
Acute_Survivor_35._STARpass1	294618.0	799170.0	115230.0	605.0
Acute_Survivor_36	2120473.0	15885991.0	188299.0	3621.0
Acute_Survivor_36._STARpass1	2144923.0	15861004.0	188826.0	3631.0
Acute_Survivor_37	11510305.0	47706045.0	693771.0	6033.0
Acute_Survivor_37._STARpass1	11507869.0	47705260.0	697016.0	6009.0
Acute_Survivor_38	4755814.0	25985350.0	341795.0	0.0
Acute_Survivor_38._STARpass1	4843154.0	25897236.0	342569.0	0.0
Acute_Survivor_39	3861685.0	41659572.0	643046.0	0.0
Acute_Survivor_39._STARpass1	3872063.0	41646236.0	646004.0	0.0
Acute_Survivor_4	2452992.0	9393336.0	161864.0	1199.0
Acute_Survivor_4._STARpass1	2456282.0	9389940.0	161969.0	1200.0
Acute_Survivor_41	7745924.0	35029397.0	495590.0	4309.0
Acute_Survivor_41._STARpass1	8020677.0	34752189.0	498023.0	4331.0
Acute_Survivor_42	4778553.0	23653685.0	283324.0	5724.0
Acute_Survivor_42._STARpass1	4770442.0	23661179.0	283929.0	5736.0
Acute_Survivor_43	9322208.0	32633783.0	1007505.0	4306.0
Acute_Survivor_43._STARpass1	9382403.0	32570524.0	1010575.0	4300.0
Acute_Survivor_7	1997924.0	11330131.0	225119.0	1356.0
Acute_Survivor_7._STARpass1	1998726.0	11329258.0	225189.0	1357.0
Acute_Survivor_8	108901.0	1189207.0	510156.0	905.0
Acute_Survivor_8._STARpass1	106078.0	1192017.0	510169.0	905.0
Acute_Survivor_9	4709557.0	2374535.0	34296589.0	0.0
Acute_Survivor_9._STARpass1	4738338.0	2341462.0	34300881.0	0.0
