Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Acute_Fatal_104_1	Acute_Fatal_104_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62573835.0	0.0	48-150	55.0	5.906745777783486	143.3785434439171	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_104_2	Acute_Fatal_104_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62573835.0	0.0	47-150	55.0	7.454174290559889	139.10630579059122	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_106_1	Acute_Fatal_106_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48238961.0	0.0	47-150	55.0	8.375841941918754	139.02974477414637	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
Acute_Fatal_106_2	Acute_Fatal_106_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48238961.0	0.0	47-150	54.0	9.767449118798067	135.90361973177656	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_14_1	Acute_Fatal_14_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36065636.0	0.0	47-125	55.0	9.505781701451548	117.9196992394644	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_14_2	Acute_Fatal_14_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36065636.0	0.0	46-125	54.0	10.792554476652157	117.2598018789964	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_26_1	Acute_Fatal_26_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15829329.0	0.0	46-125	52.0	9.372037630631946	115.18811113219013	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_26_2	Acute_Fatal_26_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15829329.0	0.0	47-125	52.0	11.260597036956154	114.31789408129681	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_29_1	Acute_Fatal_29_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19936552.0	0.0	46-125	59.0	5.7938373041754865	112.20382862593291	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_29_2	Acute_Fatal_29_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19936552.0	0.0	48-125	58.0	5.519756693680819	111.76150830895934	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
Acute_Fatal_32_1	Acute_Fatal_32_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52328143.0	0.0	46-125	56.0	9.581699079184917	115.3185082833916	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_32_2	Acute_Fatal_32_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52328143.0	0.0	47-125	55.0	10.296509657563902	114.32508935010364	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_35_1	Acute_Fatal_35_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27939177.0	0.0	47-125	53.0	16.117968670663902	118.83346678393569	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_35_2	Acute_Fatal_35_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27939177.0	0.0	47-125	53.0	17.623583929732934	118.12837593605566	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
Acute_Fatal_38_1	Acute_Fatal_38_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20213818.0	0.0	46-125	54.0	14.954151447934771	117.32790203216433	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_38_2	Acute_Fatal_38_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20213818.0	0.0	47-125	53.0	15.816795512971996	116.73128055273872	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_39_1	Acute_Fatal_39_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19642395.0	0.0	47-125	54.0	15.997395727008998	115.87412278390696	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
Acute_Fatal_39_2	Acute_Fatal_39_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19642395.0	0.0	47-125	53.0	18.37663050621102	114.98256521162516	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_40_1	Acute_Fatal_40_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46899121.0	0.0	46-125	54.0	12.866957436488317	116.34097820298167	pass	pass	pass	warn	warn	pass	warn	fail	fail	pass
Acute_Fatal_40_2	Acute_Fatal_40_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	46899121.0	0.0	47-125	53.0	14.072856534032638	115.62827128465798	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_42_1	Acute_Fatal_42_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31939602.0	0.0	47-125	54.0	14.384224416246088	118.03005566569051	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_42_2	Acute_Fatal_42_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31939602.0	0.0	47-125	53.0	16.62763356726661	117.12972115306884	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_46_1	Acute_Fatal_46_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6311177.0	0.0	47-125	55.0	15.368542540036978	117.22303304122195	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_46_2	Acute_Fatal_46_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6311177.0	0.0	48-125	54.0	17.13850620400513	116.51462096531282	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_48_1	Acute_Fatal_48_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34335768.0	0.0	47-125	55.0	13.64257092577867	115.9650156652969	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_48_2	Acute_Fatal_48_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34335768.0	0.0	47-125	54.0	15.820608449469145	114.85063051451186	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_49_1	Acute_Fatal_49_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155547519.0	0.0	46-125	55.0	5.979438185426334	115.61243187684659	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_49_2	Acute_Fatal_49_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155547519.0	0.0	46-125	54.0	6.858712063249318	115.04532777536619	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_4_1	Acute_Fatal_4_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24539783.0	0.0	46-125	55.0	13.495054913885548	116.65206729823161	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_4_2	Acute_Fatal_4_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24539783.0	0.0	47-125	54.0	14.465910997451445	116.00366808459553	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_58_1	Acute_Fatal_58_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25069057.0	0.0	47-125	56.0	13.570539806515244	114.43819031565488	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
Acute_Fatal_58_2	Acute_Fatal_58_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25069057.0	0.0	47-125	55.0	14.24518541333394	113.71063769969489	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
Acute_Fatal_64_1	Acute_Fatal_64_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31426534.0	0.0	46-125	53.0	18.381482868815095	115.37941619651725	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
Acute_Fatal_64_2	Acute_Fatal_64_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31426534.0	0.0	47-125	52.0	19.57715105696238	114.21399623642874	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
Acute_Fatal_67_1	Acute_Fatal_67_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3997300.0	0.0	48-150	52.0	18.209336248451883	139.12549595977285	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
