Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_Nonjunction	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
Acute_Fatal_104	16909864	6434162	0	0	0	0	0	0	0	0	9963729	0	511973	38.04975604771274
Acute_Fatal_106	19631742	7219559	0	0	0	0	0	0	0	0	12029318	0	382865	36.77492807311751
Acute_Fatal_14	9233575	3951448	0	0	0	0	0	0	0	0	4894610	0	387517	42.794345635357914
Acute_Fatal_26	6224216	2008033	0	0	0	0	0	0	0	0	4058048	0	158135	32.2616213833196
Acute_Fatal_29	885464	505603	0	0	0	0	0	0	0	0	262384	0	117477	57.100345129785055
Acute_Fatal_32	12207083	4418665	0	0	0	0	0	0	0	0	6613637	0	1174781	36.19755022555348
Acute_Fatal_35	11616491	2391981	0	0	0	0	0	0	0	0	8653021	0	571489	20.591252556387293
Acute_Fatal_38	6624708	2325989	0	0	0	0	0	0	0	0	3986363	0	312356	35.11081545028098
Acute_Fatal_39	7812295	2560007	0	0	0	0	0	0	0	0	4963724	0	288564	32.76894945723376
Acute_Fatal_4	8036583	3222182	0	0	0	0	0	0	0	0	4508355	0	306046	40.093930467712454
Acute_Fatal_40	18525767	6456333	0	0	0	0	0	0	0	0	11571128	0	498306	34.85055706465487
Acute_Fatal_42	12652608	4420022	0	0	0	0	0	0	0	0	7894030	0	338556	34.93368323747958
Acute_Fatal_46	1874161	779561	0	0	0	0	0	0	0	0	1045185	0	49415	41.5951991317715
Acute_Fatal_48	10597800	4173740	0	0	0	0	0	0	0	0	5991724	0	432336	39.38307950706751
Acute_Fatal_49	39940999	17717018	0	0	0	0	0	0	0	0	20800659	0	1423322	44.3579741207775
Acute_Fatal_58	7092913	2873587	0	0	0	0	0	0	0	0	3774832	0	444494	40.51349565404228
Acute_Fatal_6	5875747	2028299	0	0	0	0	0	0	0	0	3590767	0	256681	34.51984913577797
Acute_Fatal_64	12998014	4547887	0	0	0	0	0	0	0	0	8033191	0	416936	34.98909141042624
Acute_Fatal_67	1301418	473109	0	0	0	0	0	0	0	0	789555	0	38754	36.35334688777933
Acute_Fatal_68	24727062	8671234	0	0	0	0	0	0	0	0	14982975	0	1072853	35.06778929093962
Acute_Fatal_70	650847	122423	0	0	0	0	0	0	0	0	515994	0	12430	18.80979707980524
Acute_Fatal_73	2391606	1260083	0	0	0	0	0	0	0	0	766466	0	365057	52.68773368188573
Acute_Fatal_76	1922401	913285	0	0	0	0	0	0	0	0	701126	0	307990	47.507517942406395
Acute_Fatal_86	4081627	2001827	0	0	0	0	0	0	0	0	1714633	0	365167	49.04482942708876
Acute_Fatal_87	7993720	718706	0	0	0	0	0	0	0	0	7087094	0	187920	8.99088284303178
Acute_Fatal_92	3308099	1413362	0	0	0	0	0	0	0	0	1470074	0	424663	42.72429573601032
Acute_Fatal_93	9016370	2912564	0	0	0	0	0	0	0	0	5719893	0	383913	32.30306653342753
Acute_Fatal_96	833258	115835	0	0	0	0	0	0	0	0	692182	0	25241	13.90145669168493
Acute_Fatal_97	2385867	1177172	0	0	0	0	0	0	0	0	1070611	0	138084	49.339380610905806
Acute_Fatal_99	3193326	1867428	0	0	0	0	0	0	0	0	1174016	0	151882	58.479090453026096
Acute_Survivor_1	8957769	3379213	0	0	0	0	0	0	0	0	5375872	0	202684	37.72382386730445
Acute_Survivor_11	14309306	4372342	0	0	0	0	0	0	0	0	9527517	0	409447	30.555933320595702
Acute_Survivor_12	4407322	1332201	0	0	0	0	0	0	0	0	2993992	0	81129	30.22699498697849
Acute_Survivor_13	11148670	3368787	0	0	0	0	0	0	0	0	7586612	0	193271	30.216940675434827
Acute_Survivor_15	15945390	6437162	0	0	0	0	0	0	0	0	8534186	0	974042	40.370050528710806
Acute_Survivor_17	8343337	3160893	0	0	0	0	0	0	0	0	4885342	0	297102	37.88523704604045
Acute_Survivor_18	15516535	5462970	0	0	0	0	0	0	0	0	9433436	0	620129	35.207409386180615
Acute_Survivor_2	9083304	2991544	0	0	0	0	0	0	0	0	5706987	0	384773	32.9345357151979
Acute_Survivor_20	6383342	2137549	0	0	0	0	0	0	0	0	4005578	0	240215	33.48636184619279
Acute_Survivor_21	2547273	1444318	0	0	0	0	0	0	0	0	890801	0	212154	56.70055781221722
Acute_Survivor_22	7562877	2488883	0	0	0	0	0	0	0	0	4912825	0	161169	32.90920902191058
Acute_Survivor_23	268820	65554	0	0	0	0	0	0	0	0	198525	0	4741	24.385834387322372
Acute_Survivor_27	22245462	1733641	0	0	0	0	0	0	0	0	20406320	0	105501	7.793234413382828
Acute_Survivor_28	23791452	10697280	0	0	0	0	0	0	0	0	11214965	0	1879207	44.96270341129242
Acute_Survivor_29	2028765	592268	0	0	0	0	0	0	0	0	1350966	0	85531	29.193524139069826
Acute_Survivor_30	3130522	1552731	0	0	0	0	0	0	0	0	1306240	0	271551	49.5997472625971
Acute_Survivor_31	8689642	4562857	0	0	0	0	0	0	0	0	3418506	0	708279	52.50914824799457
Acute_Survivor_32	137670	34220	0	0	0	0	0	0	0	0	86507	0	16943	24.856541003849784
Acute_Survivor_35	583192	109309	0	0	0	0	0	0	0	0	465753	0	8130	18.743226930410568
Acute_Survivor_36	4234134	1872003	0	0	0	0	0	0	0	0	2226355	0	135776	44.21218128665744
Acute_Survivor_37	23007769	8384340	0	0	0	0	0	0	0	0	14020681	0	602748	36.44134292203646
Acute_Survivor_38	9506924	2972602	0	0	0	0	0	0	0	0	6353158	0	181164	31.267758109773464
Acute_Survivor_39	7714063	4559995	0	0	0	0	0	0	0	0	2844562	0	309506	59.11275290336623
Acute_Survivor_4	4905426	1607944	0	0	0	0	0	0	0	0	3121137	0	176345	32.77888607431852
Acute_Survivor_41	15484053	5168471	0	0	0	0	0	0	0	0	10004456	0	311126	33.37931612608146
Acute_Survivor_42	9552716	3606795	0	0	0	0	0	0	0	0	5721535	0	224386	37.75674897065923
Acute_Survivor_43	18632646	6914650	0	0	0	0	0	0	0	0	11265373	0	452623	37.110402891784666
Acute_Survivor_7	3995538	1804344	0	0	0	0	0	0	0	0	2089472	0	101722	45.15897483643004
Acute_Survivor_8	217780	58019	0	0	0	0	0	0	0	0	141289	0	18472	26.64110570300303
Acute_Survivor_9	9418161	194621	0	0	0	0	0	0	0	0	9162195	0	61345	2.0664437569075322
