Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Acute_Fatal_104	38.04975604771274	6434162	13.52	8460275.0					
Acute_Fatal_104._STARpass1			13.59	8502106.0					
Acute_Fatal_104_1					94.09325422221652	55.0	143.3785434439171	30.0	62573835.0
Acute_Fatal_104_2					92.54582570944011	55.0	139.10630579059122	40.0	62573835.0
Acute_Fatal_106	36.77492807311751	7219559	20.36	9820853.0					
Acute_Fatal_106._STARpass1			20.75	10008740.0					
Acute_Fatal_106_1					91.62415805808125	55.0	139.02974477414637	20.0	48238961.0
Acute_Fatal_106_2					90.23255088120193	54.0	135.90361973177656	40.0	48238961.0
Acute_Fatal_14	42.794345635357914	3951448	12.8	4617177.0					
Acute_Fatal_14._STARpass1			12.72	4586888.0					
Acute_Fatal_14_1					90.49421829854845	55.0	117.9196992394644	30.0	36065636.0
Acute_Fatal_14_2					89.20744552334784	54.0	117.2598018789964	40.0	36065636.0
Acute_Fatal_26	32.2616213833196	2008033	19.66	3112396.0					
Acute_Fatal_26._STARpass1			19.89	3148683.0					
Acute_Fatal_26_1					90.62796236936805	52.0	115.18811113219013	30.0	15829329.0
Acute_Fatal_26_2					88.73940296304384	52.0	114.31789408129681	40.0	15829329.0
Acute_Fatal_29	57.100345129785055	505603	2.22	442762.0					
Acute_Fatal_29._STARpass1			2.05	408422.0					
Acute_Fatal_29_1					94.20616269582452	59.0	112.20382862593291	30.0	19936552.0
Acute_Fatal_29_2					94.48024330631918	58.0	111.76150830895934	30.0	19936552.0
Acute_Fatal_32	36.19755022555348	4418665	11.67	6104195.0					
Acute_Fatal_32._STARpass1			11.45	5989375.0					
Acute_Fatal_32_1					90.41830092081508	56.0	115.3185082833916	40.0	52328143.0
Acute_Fatal_32_2					89.7034903424361	55.0	114.32508935010364	40.0	52328143.0
Acute_Fatal_35	20.591252556387293	2391981	20.79	5809108.0					
Acute_Fatal_35._STARpass1			20.75	5796054.0					
Acute_Fatal_35_1					83.8820313293361	53.0	118.83346678393569	30.0	27939177.0
Acute_Fatal_35_2					82.37641607026707	53.0	118.12837593605566	30.0	27939177.0
Acute_Fatal_38	35.11081545028098	2325989	16.39	3312753.0					
Acute_Fatal_38._STARpass1			16.34	3303562.0					
Acute_Fatal_38_1					85.04584855206522	54.0	117.32790203216433	40.0	20213818.0
Acute_Fatal_38_2					84.18320448702801	53.0	116.73128055273872	40.0	20213818.0
Acute_Fatal_39	32.76894945723376	2560007	19.89	3906577.0					
Acute_Fatal_39._STARpass1			19.83	3895388.0					
Acute_Fatal_39_1					84.00260427299101	54.0	115.87412278390696	20.0	19642395.0
Acute_Fatal_39_2					81.62336949378899	53.0	114.98256521162516	40.0	19642395.0
Acute_Fatal_4	40.093930467712454	3222182	16.38	4018618.0					
Acute_Fatal_4._STARpass1			16.41	4026445.0					
Acute_Fatal_40	34.85055706465487	6456333	19.75	9263871.0					
Acute_Fatal_40._STARpass1			19.95	9355753.0					
Acute_Fatal_40_1					87.13304256351168	54.0	116.34097820298167	20.0	46899121.0
Acute_Fatal_40_2					85.92714346596736	53.0	115.62827128465798	40.0	46899121.0
