Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Acute_Fatal_1	32014064.0	231.0	4242116.0	13.25	232.07	1901457.0	1816524.0	1791841.0	13240.0	1535.0	94841.0	0.39	0.0	0.0	0.01	1.61	0.0	0.0	27471202.0	85.81	0.0	0.93	0.01	0	297547	3199
Acute_Fatal_1._STARpass1	32014064.0	231.0	4181836.0	13.06	232.46	1758130.0	1597220.0	1654205.0	12151.0	1496.0	90278.0	0.39	0.0	0.0	0.01	1.62	0.0	0.0	27530921.0	86.0	0.0	0.93	0.01	0	298102	3205
Acute_Fatal_102	44806519.0	233.0	10834264.0	24.18	233.17	3804819.0	3594542.0	3507955.0	22289.0	2161.0	272414.0	0.42	0.0	0.0	0.01	1.64	0.0	0.0	33547653.0	74.87	0.0	0.94	0.01	0	420133	4469
Acute_Fatal_102._STARpass1	44806519.0	233.0	10467363.0	23.36	234.51	2985564.0	2618529.0	2726905.0	19552.0	1934.0	237173.0	0.42	0.0	0.0	0.01	1.63	0.0	0.0	33913118.0	75.69	0.0	0.94	0.01	0	421553	4485
Acute_Fatal_104	62573835.0	282.0	8460275.0	13.52	279.45	3507579.0	3246375.0	3157755.0	26985.0	2665.0	320174.0	0.5	0.0	0.0	0.01	1.74	0.0	0.0	53573182.0	85.62	0.0	0.86	0.01	0	534167	6211
Acute_Fatal_104._STARpass1	62573835.0	282.0	8502106.0	13.59	279.75	3343895.0	2910864.0	3027590.0	21457.0	2517.0	292331.0	0.5	0.0	0.0	0.01	1.74	0.0	0.0	53530187.0	85.55	0.0	0.86	0.01	0	535317	6225
Acute_Fatal_105	40849246.0	283.0	3632309.0	8.89	278.28	1637850.0	1500179.0	1424542.0	12620.0	1343.0	199345.0	0.53	0.0	0.0	0.0	1.6	0.0	0.0	36843235.0	90.19	0.0	0.91	0.01	0	369640	4062
Acute_Fatal_105._STARpass1	40849246.0	283.0	3670116.0	8.98	278.55	1534368.0	1314428.0	1374546.0	10296.0	1307.0	148219.0	0.54	0.0	0.0	0.0	1.59	0.0	0.0	36804511.0	90.1	0.0	0.91	0.0	0	374619	0
Acute_Fatal_106	48238961.0	275.0	9820853.0	20.36	272.6	4284106.0	4047955.0	3976184.0	31617.0	3167.0	273138.0	0.45	0.0	0.0	0.01	1.8	0.0	0.0	37924395.0	78.62	0.0	1.01	0.02	0	484126	9587
Acute_Fatal_106._STARpass1	48238961.0	275.0	10008740.0	20.75	272.75	4184041.0	3775249.0	3889142.0	28055.0	3105.0	263739.0	0.47	0.0	0.0	0.01	1.79	0.0	0.0	37731811.0	78.22	0.0	1.02	0.02	0	488825	9585
Acute_Fatal_107	35143116.0	277.0	4535371.0	12.91	271.46	2439219.0	2326034.0	2242309.0	19341.0	1863.0	175706.0	0.44	0.0	0.0	0.01	1.72	0.0	0.0	30327914.0	86.3	0.0	0.79	0.01	0	276333	3498
Acute_Fatal_107._STARpass1	35143116.0	277.0	4484718.0	12.76	271.44	2311704.0	2121174.0	2170944.0	14802.0	1779.0	124179.0	0.44	0.0	0.0	0.01	1.72	0.0	0.0	30377911.0	86.44	0.0	0.79	0.01	0	276981	3506
Acute_Fatal_109	39787549.0	284.0	1929287.0	4.85	279.05	470070.0	369924.0	359786.0	2694.0	268.0	107322.0	0.64	0.0	0.0	0.0	1.31	0.0	0.0	36336275.0	91.33	0.0	3.82	0.0	0	1521987	0
Acute_Fatal_109._STARpass1	39787549.0	284.0	1932318.0	4.86	279.06	460672.0	344639.0	355878.0	2532.0	263.0	101999.0	0.64	0.0	0.0	0.0	1.3	0.0	0.0	36333111.0	91.32	0.0	3.82	0.0	0	1522120	0
Acute_Fatal_14	36065636.0	236.0	4617177.0	12.8	233.16	1975436.0	1873227.0	1841876.0	14327.0	1569.0	117664.0	0.4	0.0	0.0	0.01	1.6	0.0	0.0	31035666.0	86.05	0.0	1.12	0.02	0	405551	7242
Acute_Fatal_14._STARpass1	36065636.0	236.0	4586888.0	12.72	233.37	1837428.0	1657949.0	1713972.0	12977.0	1443.0	109036.0	0.41	0.0	0.0	0.01	1.59	0.0	0.0	31065353.0	86.14	0.0	1.12	0.02	0	406142	7253
Acute_Fatal_16	33921181.0	233.0	6872989.0	20.26	234.55	2281646.0	2106096.0	2048872.0	16407.0	1732.0	214635.0	0.4	0.0	0.0	0.01	1.67	0.0	0.0	26420898.0	77.89	0.0	1.83	0.01	0	623885	3409
Acute_Fatal_16._STARpass1	33921181.0	233.0	6870813.0	20.26	234.54	2206138.0	1928306.0	1999931.0	15357.0	1607.0	189243.0	0.4	0.0	0.0	0.01	1.67	0.0	0.0	26421562.0	77.89	0.0	1.84	0.01	0	625407	3399
Acute_Fatal_17	18902840.0	233.0	3798230.0	20.09	231.7	1220965.0	1146162.0	1116998.0	9643.0	1033.0	93291.0	0.54	0.0	0.0	0.01	1.67	0.0	0.0	14909139.0	78.87	0.0	1.02	0.01	0	193573	1898
Acute_Fatal_17._STARpass1	18902840.0	233.0	3787149.0	20.03	231.82	1154751.0	1025320.0	1064869.0	8501.0	1007.0	80374.0	0.55	0.0	0.0	0.01	1.66	0.0	0.0	14919891.0	78.93	0.0	1.03	0.01	0	193917	1883
Acute_Fatal_18	26993774.0	227.0	2341519.0	8.67	225.16	1229545.0	1191933.0	1155856.0	11476.0	833.0	61380.0	0.52	0.0	0.0	0.01	1.44	0.0	0.0	24512313.0	90.81	0.0	0.51	0.01	0	137251	2691
Acute_Fatal_18._STARpass1	26993774.0	227.0	2292539.0	8.49	225.49	1129942.0	1061870.0	1081258.0	8541.0	826.0	39317.0	0.52	0.0	0.0	0.01	1.43	0.0	0.0	24561059.0	90.99	0.0	0.51	0.01	0	137480	2696
Acute_Fatal_20	18220141.0	231.0	2585686.0	14.19	232.68	1071590.0	996704.0	983686.0	8546.0	780.0	78578.0	0.45	0.0	0.0	0.0	1.47	0.0	0.0	15429473.0	84.68	0.0	1.12	0.0	0	204982	0
Acute_Fatal_20._STARpass1	18220141.0	231.0	2599029.0	14.26	233.03	1012775.0	915916.0	929987.0	6125.0	762.0	75901.0	0.45	0.0	0.0	0.0	1.46	0.0	0.0	15415650.0	84.61	0.0	1.12	0.0	0	205462	0
Acute_Fatal_21	24712608.0	224.0	4553067.0	18.42	226.19	1645466.0	1608462.0	1433013.0	152482.0	1246.0	58725.0	0.46	0.0	0.0	0.01	1.63	0.0	0.0	19997075.0	80.92	0.0	0.65	0.01	0	160004	2462
Acute_Fatal_21._STARpass1	24712608.0	224.0	4518474.0	18.28	227.39	1340748.0	1231108.0	1287918.0	9275.0	1234.0	42321.0	0.48	0.0	0.0	0.01	1.62	0.0	0.0	20030318.0	81.05	0.0	0.65	0.01	0	161334	2482
